file,bytes,MB,MiB,time,tp,filter,dir_mem,iter,blocksize,transfersize,size,operation,options,read_time,write_time,read_tp,write_tp,prefix,n,ppn,config,timesteps,sync_t
passthrough_fh-fuse-1-2000-2000.txt,,,,0.642145,148.48,passthrough_fh,fuse,1,2000,2000,,read,ior,,,,,,,,,,
passthrough_fh-fuse-1-5000-5000.txt,,,,0.705067,338.10,passthrough_fh,fuse,1,5000,5000,,read,ior,,,,,,,,,,
passthrough_fh-fuse-2-2000-2000.txt,,,,0.639579,149.08,passthrough_fh,fuse,2,2000,2000,,read,ior,,,,,,,,,,
passthrough_fh-fuse-2-5000-5000.txt,,,,0.706449,337.44,passthrough_fh,fuse,2,5000,5000,,read,ior,,,,,,,,,,
passthrough_fh-tmpfs-1-2000-2000.txt,,,,0.070881,1345.31,passthrough_fh,tmpfs,1,2000,2000,,read,ior,,,,,,,,,,
passthrough_fh-tmpfs-1-5000-5000.txt,,,,0.079893,2983.49,passthrough_fh,tmpfs,1,5000,5000,,read,ior,,,,,,,,,,
passthrough_fh-tmpfs-2-2000-2000.txt,,,,0.069464,1372.71,passthrough_fh,tmpfs,2,2000,2000,,read,ior,,,,,,,,,,
passthrough_fh-tmpfs-2-5000-5000.txt,,,,0.080564,2958.62,passthrough_fh,tmpfs,2,5000,5000,,read,ior,,,,,,,,,,
passthrough-fuse-1-2000-2000.txt,,,,0.605696,157.44,passthrough,fuse,1,2000,2000,,read,ior,,,,,,,,,,
passthrough-fuse-1-5000-5000.txt,,,,0.666964,357.39,passthrough,fuse,1,5000,5000,,read,ior,,,,,,,,,,
passthrough-fuse-2-2000-2000.txt,,,,0.516227,184.72,passthrough,fuse,2,2000,2000,,read,ior,,,,,,,,,,
passthrough-fuse-2-5000-5000.txt,,,,0.683996,348.52,passthrough,fuse,2,5000,5000,,read,ior,,,,,,,,,,
passthrough_ll-fuse-1-2000-2000.txt,,,,0.080720,1180.45,passthrough_ll,fuse,1,2000,2000,,read,ior,,,,,,,,,,
passthrough_ll-fuse-1-5000-5000.txt,,,,0.169849,1402.84,passthrough_ll,fuse,1,5000,5000,,read,ior,,,,,,,,,,
passthrough_ll-fuse-2-2000-2000.txt,,,,0.097426,978.35,passthrough_ll,fuse,2,2000,2000,,read,ior,,,,,,,,,,
passthrough_ll-fuse-2-5000-5000.txt,,,,0.174802,1363.22,passthrough_ll,fuse,2,5000,5000,,read,ior,,,,,,,,,,
passthrough_ll-tmpfs-1-2000-2000.txt,,,,0.067791,1406.63,passthrough_ll,tmpfs,1,2000,2000,,read,ior,,,,,,,,,,
