file,bytes,MB,MiB,time,tp,filter,dir_mem,iter,blocksize,transfersize,isize,psize,size,options,read_time1,write_time1,read_time2,write_time2,read_time3,write_time3,read_time4,write_time4,read_time5,write_time5,read_time6,write_time6,read_time7,write_time7,read_tp,write_tp,prefix,n,ppn,config,timesteps,sync_t,nproc,rate_iops,rate_objs,total_time
passthrough_fh-fuse-1-200-1000-1.txt,,,,,,passthrough_fh,fuse,1,,,200,1000,,md,7.9336e-05,8.9962e-05,9.1118e-05,9.8901e-05,9.4555e-05,1.0186e-04,9.9728e-05,1.0800e-04,1.0805e-04,1.2327e-04,1.7800e-04,2.1623e-04,1.8532e-04,3.4263e-04,,,,,,,,,1,11903.3,2975.8,
passthrough_fh-fuse-1-200-1000-1.txt,,,,,,passthrough_fh,fuse,1,,,200,1000,,md,7.9336e-05,8.9962e-05,9.1118e-05,9.8901e-05,9.4555e-05,1.0186e-04,9.9728e-05,1.0800e-04,1.0805e-04,1.2327e-04,1.7800e-04,2.1623e-04,1.8532e-04,3.4263e-04,,,,,,,,,1,11903.3,2975.8,0
passthrough_fh-fuse-1-200-1000-2.txt,,,,,,passthrough_fh,fuse,1,,,200,1000,,md,9.8758e-05,1.0833e-04,1.1136e-04,1.2224e-04,1.1790e-04,1.3027e-04,1.3150e-04,1.4703e-04,1.5526e-04,1.7366e-04,2.0785e-04,2.3864e-04,3.3513e-04,2.5937e-04,,,,,,,,,2,18166.1,4541.5,0
passthrough_fh-fuse-1-200-1000-2.txt,,,,,,passthrough_fh,fuse,1,,,200,1000,,md,9.8758e-05,1.0833e-04,1.1136e-04,1.2224e-04,1.1790e-04,1.3027e-04,1.3150e-04,1.4703e-04,1.5526e-04,1.7366e-04,2.0785e-04,2.3864e-04,3.3513e-04,2.5937e-04,,,,,,,,,2,18166.1,4541.5,0
passthrough_fh-fuse-1-500-1000-1.txt,,,,,,passthrough_fh,fuse,1,,,500,1000,,md,9.0046e-05,9.7276e-05,1.0826e-04,1.1835e-04,1.1453e-04,1.2570e-04,1.2225e-04,1.3449e-04,1.3675e-04,1.4419e-04,1.9649e-04,2.0722e-04,4.1922e-04,2.6977e-04,,,,,,,,,1,9718.1,2429.5,0
passthrough_fh-fuse-1-500-1000-1.txt,,,,,,passthrough_fh,fuse,1,,,500,1000,,md,9.0046e-05,9.7276e-05,1.0826e-04,1.1835e-04,1.1453e-04,1.2570e-04,1.2225e-04,1.3449e-04,1.3675e-04,1.4419e-04,1.9649e-04,2.0722e-04,4.1922e-04,2.6977e-04,,,,,,,,,1,9718.1,2429.5,0
passthrough_fh-fuse-1-500-1000-2.txt,,,,,,passthrough_fh,fuse,1,,,500,1000,,md,9.0393e-05,1.0108e-04,1.1531e-04,1.2848e-04,1.2625e-04,1.4057e-04,1.3902e-04,1.5891e-04,1.6145e-04,1.8080e-04,2.5822e-04,3.2365e-04,7.7242e-04,9.4433e-04,,,,,,,,,2,17068.4,4267.1,0
passthrough_fh-fuse-1-500-1000-2.txt,,,,,,passthrough_fh,fuse,1,,,500,1000,,md,9.0393e-05,1.0108e-04,1.1531e-04,1.2848e-04,1.2625e-04,1.4057e-04,1.3902e-04,1.5891e-04,1.6145e-04,1.8080e-04,2.5822e-04,3.2365e-04,7.7242e-04,9.4433e-04,,,,,,,,,2,17068.4,4267.1,1
passthrough_fh-fuse-2-200-1000-1.txt,,,,,,passthrough_fh,fuse,2,,,200,1000,,md,7.8992e-05,8.6646e-05,8.9644e-05,9.9223e-05,1.1736e-04,1.2841e-04,1.3537e-04,1.5052e-04,1.5773e-04,1.7706e-04,2.3704e-04,2.0706e-04,3.6154e-04,2.1261e-04,,,,,,,,,1,9482.8,2370.7,1
passthrough_fh-fuse-2-200-1000-1.txt,,,,,,passthrough_fh,fuse,2,,,200,1000,,md,7.8992e-05,8.6646e-05,8.9644e-05,9.9223e-05,1.1736e-04,1.2841e-04,1.3537e-04,1.5052e-04,1.5773e-04,1.7706e-04,2.3704e-04,2.0706e-04,3.6154e-04,2.1261e-04,,,,,,,,,1,9482.8,2370.7,0
passthrough_fh-fuse-2-200-1000-2.txt,,,,,,passthrough_fh,fuse,2,,,200,1000,,md,1.3308e-04,1.3965e-04,1.5044e-04,1.6558e-04,1.6360e-04,1.8083e-04,1.7697e-04,1.9557e-04,1.9585e-04,2.1438e-04,2.7241e-04,3.0217e-04,2.9420e-04,4.3056e-04,,,,,,,,,2,13680.2,3420.1,0
