file,bytes,MB,MiB,time,tp,filter,dir_mem,iter,blocksize,transfersize,size,operation,options,read_time,write_time,read_tp,write_tp,prefix,n,ppn,config,timesteps,sync_t
passthrough-fuse-1-1048576-262144.txt,,,,0.003539,255.87,passthrough,fuse,1,1048576,262144,,read,ior,,,,,,,,,,
passthrough-fuse-1-1048576-524288.txt,,,,0.003171,272.29,passthrough,fuse,1,1048576,524288,,read,ior,,,,,,,,,,
passthrough-fuse-1-2097152-262144.txt,,,,0.006719,273.35,passthrough,fuse,1,2097152,262144,,read,ior,,,,,,,,,,
passthrough-fuse-1-2097152-524288.txt,,,,0.002403,775.78,passthrough,fuse,1,2097152,524288,,read,ior,,,,,,,,,,
passthrough-fuse-2-1048576-262144.txt,,,,0.001410,509.94,passthrough,fuse,2,1048576,262144,,read,ior,,,,,,,,,,
passthrough-fuse-2-1048576-524288.txt,,,,0.002940,290.15,passthrough,fuse,2,1048576,524288,,read,ior,,,,,,,,,,
passthrough-fuse-2-2097152-262144.txt,,,,0.006997,267.38,passthrough,fuse,2,2097152,262144,,read,ior,,,,,,,,,,
passthrough-fuse-2-2097152-524288.txt,,,,0.005273,348.33,passthrough,fuse,2,2097152,524288,,read,ior,,,,,,,,,,
passthrough-tmpfs-1-1048576-262144.txt,,,,0.001062,906.43,passthrough,tmpfs,1,1048576,262144,,read,ior,,,,,,,,,,
passthrough-tmpfs-1-1048576-524288.txt,,,,0.000637,1523.25,passthrough,tmpfs,1,1048576,524288,,read,ior,,,,,,,,,,
passthrough-tmpfs-1-2097152-262144.txt,,,,0.001342,1460.58,passthrough,tmpfs,1,2097152,262144,,read,ior,,,,,,,,,,
passthrough-tmpfs-1-2097152-524288.txt,,,,0.001523,1291.40,passthrough,tmpfs,1,2097152,524288,,read,ior,,,,,,,,,,
passthrough-tmpfs-2-1048576-262144.txt,,,,0.000640,1511.91,passthrough,tmpfs,2,1048576,262144,,read,ior,,,,,,,,,,
passthrough-tmpfs-2-1048576-524288.txt,,,,0.000447,2153.43,passthrough,tmpfs,2,1048576,524288,,read,ior,,,,,,,,,,
passthrough-tmpfs-2-2097152-262144.txt,,,,0.000317,6223,passthrough,tmpfs,2,2097152,262144,,read,ior,,,,,,,,,,
passthrough-tmpfs-2-2097152-524288.txt,,,,0.001484,1326.34,passthrough,tmpfs,2,2097152,524288,,read,ior,,,,,,,,,,
passthrough-fuse-1-1048576-262144.txt,,,,0.004710,172.64,passthrough,fuse,1,1048576,262144,,write,ior,,,,,,,,,,
passthrough-fuse-1-1048576-524288.txt,,,,0.004613,197.95,passthrough,fuse,1,1048576,524288,,write,ior,,,,,,,,,,
passthrough-fuse-1-2097152-262144.txt,,,,0.009434,197.12,passthrough,fuse,1,2097152,262144,,write,ior,,,,,,,,,,
passthrough-fuse-1-2097152-524288.txt,,,,0.003457,550.54,passthrough,fuse,1,2097152,524288,,write,ior,,,,,,,,,,
passthrough-fuse-2-1048576-262144.txt,,,,0.002208,423.83,passthrough,fuse,2,1048576,262144,,write,ior,,,,,,,,,,
passthrough-fuse-2-1048576-524288.txt,,,,0.003794,237.41,passthrough,fuse,2,1048576,524288,,write,ior,,,,,,,,,,
passthrough-fuse-2-2097152-262144.txt,,,,0.008161,231.18,passthrough,fuse,2,2097152,262144,,write,ior,,,,,,,,,,
passthrough-fuse-2-2097152-524288.txt,,,,0.007512,239.37,passthrough,fuse,2,2097152,524288,,write,ior,,,,,,,,,,
passthrough-tmpfs-1-1048576-262144.txt,,,,0.000486,1919.53,passthrough,tmpfs,1,1048576,262144,,write,ior,,,,,,,,,,
passthrough-tmpfs-1-1048576-524288.txt,,,,0.001254,770.35,passthrough,tmpfs,1,1048576,524288,,write,ior,,,,,,,,,,
passthrough-tmpfs-1-2097152-262144.txt,,,,0.002458,795.91,passthrough,tmpfs,1,2097152,262144,,write,ior,,,,,,,,,,
passthrough-tmpfs-1-2097152-524288.txt,,,,0.002762,712.18,passthrough,tmpfs,1,2097152,524288,,write,ior,,,,,,,,,,
passthrough-tmpfs-2-1048576-262144.txt,,,,0.001262,768.17,passthrough,tmpfs,2,1048576,262144,,write,ior,,,,,,,,,,
passthrough-tmpfs-2-1048576-524288.txt,,,,0.001736,557.96,passthrough,tmpfs,2,1048576,524288,,write,ior,,,,,,,,,,
passthrough-tmpfs-2-2097152-262144.txt,,,,0.000560,3503.19,passthrough,tmpfs,2,2097152,262144,,write,ior,,,,,,,,,,
passthrough-tmpfs-2-2097152-524288.txt,,,,0.002512,781.98,passthrough,tmpfs,2,2097152,524288,,write,ior,,,,,,,,,,
