file,bytes,MB,MiB,time,tp,filter,dir_mem,iter,blocksize,transfersize,size,operation,options,read_time,write_time,read_tp,write_tp,prefix,n,ppn,config,timesteps,sync_t
passthrough-fuse-1-1048576-262144.txt,,,,0.003825,215.70,passthrough,fuse,1,1048576,262144,,read,ior,,,,,,,,,,
passthrough-fuse-1-1048576-524288.txt,,,,0.002481,326.12,passthrough,fuse,1,1048576,524288,,read,ior,,,,,,,,,,
passthrough-fuse-1-2097152-262144.txt,,,,0.004988,365.06,passthrough,fuse,1,2097152,262144,,read,ior,,,,,,,,,,
passthrough-fuse-1-2097152-524288.txt,,,,0.004842,333.07,passthrough,fuse,1,2097152,524288,,read,ior,,,,,,,,,,
passthrough-fuse-2-1048576-262144.txt,,,,0.003587,248.32,passthrough,fuse,2,1048576,262144,,read,ior,,,,,,,,,,
passthrough-fuse-2-1048576-524288.txt,,,,0.002497,354.67,passthrough,fuse,2,1048576,524288,,read,ior,,,,,,,,,,
passthrough-fuse-2-2097152-262144.txt,,,,0.005151,362.72,passthrough,fuse,2,2097152,262144,,read,ior,,,,,,,,,,
passthrough-fuse-2-2097152-524288.txt,,,,0.004949,379.31,passthrough,fuse,2,2097152,524288,,read,ior,,,,,,,,,,
passthrough-tmpfs-1-1048576-262144.txt,,,,0.000210,4592,passthrough,tmpfs,1,1048576,262144,,read,ior,,,,,,,,,,
passthrough-tmpfs-1-1048576-524288.txt,,,,0.000635,1520.70,passthrough,tmpfs,1,1048576,524288,,read,ior,,,,,,,,,,
passthrough-tmpfs-1-2097152-262144.txt,,,,0.001820,1073.71,passthrough,tmpfs,1,2097152,262144,,read,ior,,,,,,,,,,
passthrough-tmpfs-1-2097152-524288.txt,,,,0.001322,1486.06,passthrough,tmpfs,1,2097152,524288,,read,ior,,,,,,,,,,
passthrough-tmpfs-2-1048576-262144.txt,,,,0.000633,1528.67,passthrough,tmpfs,2,1048576,262144,,read,ior,,,,,,,,,,
passthrough-tmpfs-2-1048576-524288.txt,,,,0.000689,1396.51,passthrough,tmpfs,2,1048576,524288,,read,ior,,,,,,,,,,
passthrough-tmpfs-2-2097152-262144.txt,,,,0.001449,1360.54,passthrough,tmpfs,2,2097152,262144,,read,ior,,,,,,,,,,
passthrough-tmpfs-2-2097152-524288.txt,,,,0.000350,5612,passthrough,tmpfs,2,2097152,524288,,read,ior,,,,,,,,,,
passthrough-fuse-1-1048576-262144.txt,,,,0.004604,193.57,passthrough,fuse,1,1048576,262144,,write,ior,,,,,,,,,,
passthrough-fuse-1-1048576-524288.txt,,,,0.004824,181.47,passthrough,fuse,1,1048576,524288,,write,ior,,,,,,,,,,
passthrough-fuse-1-2097152-262144.txt,,,,0.009030,206.79,passthrough,fuse,1,2097152,262144,,write,ior,,,,,,,,,,
passthrough-fuse-1-2097152-524288.txt,,,,0.007951,237.83,passthrough,fuse,1,2097152,524288,,write,ior,,,,,,,,,,
passthrough-fuse-2-1048576-262144.txt,,,,0.004737,186.58,passthrough,fuse,2,1048576,262144,,write,ior,,,,,,,,,,
passthrough-fuse-2-1048576-524288.txt,,,,0.003540,251.62,passthrough,fuse,2,1048576,524288,,write,ior,,,,,,,,,,
passthrough-fuse-2-2097152-262144.txt,,,,0.009089,203.22,passthrough,fuse,2,2097152,262144,,write,ior,,,,,,,,,,
passthrough-fuse-2-2097152-524288.txt,,,,0.007923,238.72,passthrough,fuse,2,2097152,524288,,write,ior,,,,,,,,,,
passthrough-tmpfs-1-1048576-262144.txt,,,,0.000414,2272.73,passthrough,tmpfs,1,1048576,262144,,write,ior,,,,,,,,,,
passthrough-tmpfs-1-1048576-524288.txt,,,,0.001191,807.10,passthrough,tmpfs,1,1048576,524288,,write,ior,,,,,,,,,,
passthrough-tmpfs-1-2097152-262144.txt,,,,0.003288,596.91,passthrough,tmpfs,1,2097152,262144,,write,ior,,,,,,,,,,
passthrough-tmpfs-1-2097152-524288.txt,,,,0.002431,806.91,passthrough,tmpfs,1,2097152,524288,,write,ior,,,,,,,,,,
passthrough-tmpfs-2-1048576-262144.txt,,,,0.001291,750.04,passthrough,tmpfs,2,1048576,262144,,write,ior,,,,,,,,,,
passthrough-tmpfs-2-1048576-524288.txt,,,,0.001251,773.29,passthrough,tmpfs,2,1048576,524288,,write,ior,,,,,,,,,,
passthrough-tmpfs-2-2097152-262144.txt,,,,0.002420,811.71,passthrough,tmpfs,2,2097152,262144,,write,ior,,,,,,,,,,
passthrough-tmpfs-2-2097152-524288.txt,,,,0.000590,3323.66,passthrough,tmpfs,2,2097152,524288,,write,ior,,,,,,,,,,
