file,bytes,MB,MiB,time,tp,filter,dir_mem,iter,blocksize,transfersize,isize,psize,size,options,read_time1,write_time1,read_time2,write_time2,read_time3,write_time3,read_time4,write_time4,read_time5,write_time5,read_time6,write_time6,read_time7,write_time7,read_tp,write_tp,prefix,n,ppn,config,timesteps,sync_t,nproc,rate_iops,rate_objs,total_time
passthrough-fuse-1-200-1000-1.txt,,,,,,passthrough,fuse,1,,,200,1000,,md,8.4491e-05,9.2526e-05,9.0437e-05,9.8825e-05,9.2386e-05,1.0059e-04,9.3765e-05,1.0276e-04,1.0026e-04,1.1153e-04,1.4565e-04,1.7367e-04,1.5065e-04,2.0883e-04,,,,,,,,,1,11679.5,2919.9,
passthrough-fuse-1-200-1000-1.txt,,,,,,passthrough,fuse,1,,,200,1000,,md,8.4491e-05,9.2526e-05,9.0437e-05,9.8825e-05,9.2386e-05,1.0059e-04,9.3765e-05,1.0276e-04,1.0026e-04,1.1153e-04,1.4565e-04,1.7367e-04,1.5065e-04,2.0883e-04,,,,,,,,,1,11679.5,2919.9,0
passthrough-fuse-1-200-1000-2.txt,,,,,,passthrough,fuse,1,,,200,1000,,md,1.0757e-04,1.1470e-04,1.2207e-04,1.3222e-04,1.2732e-04,1.3816e-04,1.3323e-04,1.4431e-04,1.3916e-04,1.5147e-04,1.9200e-04,1.8151e-04,3.5765e-04,9.7325e-04,,,,,,,,,2,17252.1,4313.0,0
passthrough-fuse-1-200-1000-2.txt,,,,,,passthrough,fuse,1,,,200,1000,,md,1.0757e-04,1.1470e-04,1.2207e-04,1.3222e-04,1.2732e-04,1.3816e-04,1.3323e-04,1.4431e-04,1.3916e-04,1.5147e-04,1.9200e-04,1.8151e-04,3.5765e-04,9.7325e-04,,,,,,,,,2,17252.1,4313.0,0
passthrough-fuse-1-200-1000-3.txt,,,,,,passthrough,fuse,1,,,200,1000,,md,1.2496e-04,1.3399e-04,1.5052e-04,1.6352e-04,1.6114e-04,1.7681e-04,1.7693e-04,1.8947e-04,1.9239e-04,2.0564e-04,2.3005e-04,2.5424e-04,2.4908e-04,4.5099e-04,,,,,,,,,3,20020.7,5005.2,0
passthrough-fuse-1-200-1000-3.txt,,,,,,passthrough,fuse,1,,,200,1000,,md,1.2496e-04,1.3399e-04,1.5052e-04,1.6352e-04,1.6114e-04,1.7681e-04,1.7693e-04,1.8947e-04,1.9239e-04,2.0564e-04,2.3005e-04,2.5424e-04,2.4908e-04,4.5099e-04,,,,,,,,,3,20020.7,5005.2,1
passthrough-fuse-1-200-1000-4.txt,,,,,,passthrough,fuse,1,,,200,1000,,md,9.7335e-05,1.1211e-04,1.6998e-04,1.8770e-04,1.9018e-04,2.1316e-04,2.2412e-04,2.4394e-04,2.5907e-04,2.7761e-04,3.7259e-04,3.9779e-04,7.7927e-04,1.8792e-03,,,,,,,,,4,20349.1,5087.3,1
passthrough-fuse-1-200-1000-4.txt,,,,,,passthrough,fuse,1,,,200,1000,,md,9.7335e-05,1.1211e-04,1.6998e-04,1.8770e-04,1.9018e-04,2.1316e-04,2.2412e-04,2.4394e-04,2.5907e-04,2.7761e-04,3.7259e-04,3.9779e-04,7.7927e-04,1.8792e-03,,,,,,,,,4,20349.1,5087.3,1
passthrough-fuse-1-500-1000-1.txt,,,,,,passthrough,fuse,1,,,500,1000,,md,8.8395e-05,9.5662e-05,9.1999e-05,1.0143e-04,9.3244e-05,1.0309e-04,9.5083e-05,1.0564e-04,1.0989e-04,1.2045e-04,1.4484e-04,1.6173e-04,1.6544e-04,2.0577e-04,,,,,,,,,1,11393.8,2848.5,1
passthrough-fuse-1-500-1000-1.txt,,,,,,passthrough,fuse,1,,,500,1000,,md,8.8395e-05,9.5662e-05,9.1999e-05,1.0143e-04,9.3244e-05,1.0309e-04,9.5083e-05,1.0564e-04,1.0989e-04,1.2045e-04,1.4484e-04,1.6173e-04,1.6544e-04,2.0577e-04,,,,,,,,,1,11393.8,2848.5,1
